date,price,form,interface,speed,gig,sgig,brand,supplier,comment
2019-11-17,29.00,?,?,?,?,?,?,CPL,"Alogic VPLUCMCR USB-C Multi Card Reader"
2019-11-17,10.00,"3.5""",SATA?,?,?,?,?,CPL,"Astrotek AT-V-113 3.5"" internal Card Reader Black all in one USB2 Hub SF MS SD Flash memory"
2019-11-17,109.00,M.2,NVME,?,?,?,ASUS,CPL,"Asus ESD-S1C ROG Strix Arion M.2 NVMe SSD Enclosure USB 3.2 GEN2 Type-C (10Gbps)"
2020-12-27,85.00,?,?,?,?,?,ASUS,CPL,"Asus WHD-A2-1TB TRAVELAIR N WHD-A2 Wireless HD-1TB"
2020-04-19,45.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. Product with limited quantity. While stocks last."
2020-04-26,79.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. Product with limited quantity. While stocks last."
2020-04-19,469.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. and/or3. ALL South Australia (SA) Stores. Product with limited quantity. While stocks last."
2020-04-12,499.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. and/or3. ALL South Australia (SA) Stores. Product with limited quantity. While stocks last."
2020-03-29,79.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. and/or3. ALL South Australia (SA) Stores. Product with limited quantity. While stocks last."
2020-04-12,79.00,?,?,?,?,?,?,MSY,"Available: 1. Online order and delivery. 2. ALL Victoria Stores. and/orALL South Australia (SA) Stores. Product with limited quantity. While stocks last."
